,MolecularFormular,CAS No.,MolecularWeight,PhysicalForm,MeltingPoint,BoilingPoint,Density,RefractiveIndex,Solubility,SMILES
2313,C7H3ClF3NO2,777-37-7,225.553,,22,232.0,1.52725,1.508326,,[O-][N+](=O)c1ccc(Cl)c(c1)C(F)(F)F
2321,C6ClF5,344-07-0,202.509,,,117.96,1.56825,1.425620,,Fc1c(F)c(F)c(Cl)c(F)c1F
2341,C12H9ClO,7005-72-3,204.651,,,284.5,1.202615,1.599,,Clc1ccc(Oc2ccccc2)cc1
2346,C8H8ClNO,588-07-8,169.609,nd,76.6(5),333.0,,,"sl H2O; vs EtOH, eth, bz, CS2; s chl",CC(=O)Nc1cccc(Cl)c1
2355,C8H7ClO,99-02-5,154.594,,,244.0,1.213040,1.549420,"s EtOH, eth, ace",CC(=O)c1cccc(Cl)c1
2362,C13H9ClO,134-85-0,216.662,nd (al),77.5,332.0,,,"s EtOH, eth, ace; sl ctc",Clc1ccc(cc1)C(=O)c2ccccc2
2369,C6H7ClSi,4206-75-1,142.659,,,162.5,1.068320,1.534020,,Cl[SiH2]c1ccccc1
2377,C3H5ClO,683-50-1,92.524,,,86.0,1.18215,1.43117,"vs bz, eth",CC(Cl)C=O
2382,C3H5ClN2O6,2612-33-1,200.534,sl ye liq,,192.5,1.51129,,"vs ace, EtOH, chl",[O-][N+](=O)OCC(CCl)O[N+]([O-])=O
2383,C3H4ClN,542-76-7,89.524,liq,-51.4(2),175.5,1.157320,1.436020,sl ctc,ClCCC#N
2384,C3H5ClO2,598-78-7,108.524,,,185.0,1.258520,1.438020,"msc H2O, EtOH, eth; s ace",CC(Cl)C(O)=O
2386,C3H7ClO,78-89-7,94.540,,,133.5,1.10320,1.439020,"vs H2O, eth, EtOH",CC(Cl)CO
2389,C3H4Cl2O,625-36-5,126.969,,,144.0,1.330713,1.454920,"sl H2O; vs EtOH, eth, chl",ClCCC(Cl)=O
2395,C3H2ClN,920-37-6,87.508,liq,-65,88.5,1.09625,1.429020,,ClC(=C)C#N
2401,C4H6Cl2O2,628-11-5,156.996,,,177.0,1.292625,1.445620,i H2O,ClCCCOC(Cl)=O
2402,C6H15ClO3Si,2530-87-2,198.720,,,91.0,1.07725,1.418325,,CO[Si](CCCCl)(OC)OC
2403,C6H15ClSi,2344-83-4,150.722,,,151.0,0.878920,1.431920,,C[Si](C)(C)CCCCl
2416,C9H6ClN,612-62-4,163.604,nd (aq al),38.4(5),266.0,1.246425,1.634225,"i H2O; vs EtOH, eth; s bz, chl",Clc1ccc2ccccc2n1
2417,C9H6ClN,611-35-8,163.604,cry,34.9(5),262.0,1.25125,,"sl H2O; vs EtOH, eth; s dil HCl",Clc1ccnc2ccccc12
2419,C9H6ClN,611-33-6,163.604,liq,-20,288.5,1.283414,1.640814,"s H2O; vs EtOH, eth, ace, bz, chl",Clc1cccc2cccnc12
2429,C8Cl4N2,1897-45-6,265.911,,253.1(7),350.0,1.725,,"i H2O; sl ace, cyhex",Clc1c(Cl)c(C#N)c(Cl)c(C#N)c1Cl
2441,C7H4Cl4,5216-25-1,229.919,,,245.0,1.446320,,"vs ace, eth",Clc1ccc(cc1)C(Cl)(Cl)Cl
2442,C6H15ClO3Si,4667-99-6,198.720,liq,-51,156.0,1.03020,1.399920,vs EtOH,CCO[Si](Cl)(OCC)OCC
2446,C2H2ClF3,431-07-2,118.485,vol liq or gas,,17.3,,,,FC(F)C(F)Cl
2449,CClF3,75-72-9,104.459,col gas,-181.2,-81.48,,,i H2O,FC(F)(F)Cl
2454,C7H4ClF3,98-56-6,180.555,liq,-33,138.5,1.334025,1.443130,,FC(F)(F)c1ccc(Cl)cc1
2456,C3H4ClF3,460-35-5,132.512,liq,-93.73(6),45.1,1.325320,1.335020,i H2O,FC(F)(F)CCCl
2458,C3H9ClSn,1066-45-1,199.266,,38.5,148.0,,,"s H2O, chl, os",[Cl]|[Sn](C)(C)C
2461,C19H15Cl,76-83-5,278.775,nd or pr (bz-peth),109.2(5),310.0,,,"i H2O; sl EtOH; vs eth, bz, chl; s ace",ClC(c1ccccc1)(c2ccccc2)c3ccccc3
2471,C10H14ClN,461-78-9,183.678,liq,,231.0,,,,CC(C)(N)Cc1ccc(Cl)cc1
2507,C15H21CrO6,21679-31-2,349.320,red mcl cry,208.7(5),345.0,1.34,,i H2O; s bz,
2511,C18H12,218-01-9,228.288,"red bl fl or orth pl (bz, HOAc)",255.0(1),448.0,1.27420,,"i H2O; sl EtOH, eth, ace, bz, CS2; s tol",c1ccc2c(c1)ccc3c4ccccc4ccc23
2526,C9H8O,14371-10-9,132.159,ye liq,-7.5,246.0,1.049720,1.619520,"sl H2O; s EtOH, eth, chl; i lig",O=C/C=C/c1ccccc1
2529,C9H8O2,140-10-3,148.159,mcl pr (dil al),134(2),300.0,1.24754,,"i H2O, lig; vs EtOH; s eth, ace, bz",OC(=O)\C=C\c1ccccc1
2532,C10H10O2,104-65-4,162.185,,0,252.0,1.08625,,,O=COC\C=C\c1ccccc1
2564,C4HCoO4,16842-03-8,171.982,ye liq or gas,≈-30,10.0,,,s os,[Co].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+]
2583,C8H17NO,495-20-5,143.227,lf (eth),121,226.0,,,"sl H2O; vs eth, EtOH, chl",CCC(O)C1CCCCN1
2587,C15H24,3856-25-5,204.352,,,248.5,0.899620,1.489420,"i H2O; s eth, ace, HOAc, lig",CC(C)C1CC[C@]2(C)C3CC=C(C)C2C13
2592,C24H12,191-07-1,300.352,ye nd (bz),437.3(3),525.0,1.37125,,"i H2O, con sulf; sl bz",c1cc2ccc3ccc4ccc5ccc6ccc1c7c2c3c4c5c67
2631,CHNO,420-05-3,43.025,unstab liq or gas,-86,23.0,1.14020,,"vs H2O, bz, eth, chl",OC#N
2641,C2N2,460-19-5,52.034,col gas,-27.83,-21.1,0.787-21 liq,,"s H2O, EtOH, eth",NCCN
2642,CBrN,506-68-3,105.922,nd,52,61.5,2.01520,,"s H2O, EtOH, eth",BrC#N
2643,CClN,506-77-4,61.471,col vol liq or gas,-6.55,13.0,1.18620,,"s H2O, EtOH; vs eth",ClC#N
2645,CFN,1495-50-7,45.016,col gas,-82,-46.0,0.00184025 gas,,,FC#N
2653,C3F3N3,675-14-9,135.047,,,72.8,,,,Fc1nc(F)nc(F)n1
2677,C12H24O,1724-39-6,184.318,,,286.0,,,,OC1CCCCCCCCCCC1
2679,C12H18,4904-61-4,162.271,liq,-17,240.0,0.84100,,,C\1C\C=C/CC\C=C/CC/C=C1
2682,C17H30O,542-46-1,250.419,,32.5,343.0,,,,O=C1CCCCCCC\C=C/CCCCCCC1
2683,C7H10,4054-38-0,94.154,liq,-110.4,120.5,0.86825,1.497820,,C1CC=CC=CC1
2688,C7H14O,502-41-0,114.185,,7.15(5),185.0,0.955420,1.4070520,"sl H2O; vs EtOH, eth",OC1CCCCCC1
2698,C8H14O2,5292-21-7,142.196,nd (HCO2H),28.9(10),245.0,1.042318,1.477520,"sl H2O; s eth, ace",OC(=O)CC1CCCCC1
2706,C8H18N2,2579-20-6,142.242,,<-70,220.0,0.94520,,"vs H2O, eth, EtOH",[NH3+]C[C@H]1CCC[C@@H](C[NH3+])C1
2708,C8H16O2,105-08-8,144.212,,43,283.0,,,,OCC1CCC(CO)CC1
2711,C6H8O2,765-87-7,112.127,cry (peth),40,194.0,1.118721,1.499520,"s H2O, EtOH, eth, bz",O=C1CCCCC1=O
2717,C7H14O,100-49-2,114.185,liq,-43,183.0,0.929720,1.464420,"vs eth, EtOH",OCC1CCCCC1
